Depto;Munic;Sexo;Tipo_Actor;Tipo_Comunidad;Nombre_Comunidad;Componente;#Fam. Pago Parcial;$Vlr Pago Parcial;#Fam. Pago Total;$Vlr Pago Total;#Fam. Atendidas;$Pagado
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;1;6000000;341;4092000000;342;4098000000
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;52;93308189,89;273;505191049,1;325;598499239
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;342;615105232,2;;;342;615105232,2
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;29;157048000;222;1998017300;251;2155065300
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;315;2246828946;11;110000000;326;2356828946
ANTIOQUIA;ANORÍ;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;3;14000000;78;936000000;81;950000000
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;16;28723965,25;58;106106481,1;74;134830446,3
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;79;139960008,6;;;79;139960008,6
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;8;54896200;49;441008000;57;495904200
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;64;457774036,7;8;80000000;72;537774036,7
ANTIOQUIA;ANORÍ;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;ANORÍ;FEMENINO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;36;130059572;54;648000000;90;778059572
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;41;214000000;1142;13704000000;1183;13918000000
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;189;337986813,9;874;1585530590;1063;1923517404
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;1189;2089768308;;;1189;2089768308
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;105;744708533,6;742;6678054830;847;7422763364
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;962;7109361153;90;900000000;1052;8009361153
ANTIOQUIA;ANORÍ;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;6;36000000;165;1980000000;171;2016000000
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;21;37699310,85;141;260855917,6;162;298555228,5
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;169;302586615;;;169;302586615
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;16;123351609;124;1116008800;140;1239360409
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;132;976380190,2;28;280000000;160;1256380190
ANTIOQUIA;ANORÍ;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;ANORÍ;MASCULINO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;77;341804276,2;169;2028000000;246;2369804276
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;1;12000000;1;12000000
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;1;1795337,679;;;1;1795337,679
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;1;1693427,453;;;1;1693427,453
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;;;;;;0
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;1;5000000;;;1;5000000
ANTIOQUIA;ANORÍ;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;2;24000000;2;24000000
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;;;2;3610649,554;2;3610649,554
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;2;3601323,491;;;2;3601323,491
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;1;1499200;1;9000000;2;10499200
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;1;5000000;1;10000000;2;15000000
ANTIOQUIA;ANORÍ;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;16;102000000;374;4488000000;390;4590000000
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;50;84232768,48;304;551264007,4;354;635496775,9
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;340;705753535,1;50;171821300,4;390;877574835,5
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;52;400505095,5;283;2559171551;335;2959676646
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;291;2499179211;52;521402909;343;3020582120
ANTIOQUIA;BRICEÑO;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
